,name,score,recovery
0,HHH_bc_03527_local_dock_0003.fa,0.9066,0.5088
1,HHH_bc_03495_local_dock_0001.fa,1.0881,0.5000
2,HHH_bc_03432_local_dock_0003.fa,1.0491,0.4118
3,HHH_bc_03336_local_dock_0003.fa,0.9261,0.5000
4,HHH_bc_03432_local_dock_0002.fa,0.9412,0.3529
5,HHH_bc_03527_local_dock_0002.fa,0.8990,0.5088
6,HHH_bc_03495_local_dock_0003.fa,1.0084,0.4615
7,HHH_bc_03432_local_dock_0001.fa,1.0021,0.4118
8,HHH_bc_03527_local_dock_0001.fa,1.0093,0.5263
9,HHH_bc_03495_local_dock_0002.fa,1.1060,0.4808
